REPORT_DATE,CIK,REGISTRANT_NAME,SECURITY_KEY,ISSUER_NAME,BALANCE,PREV_BALANCE,POSITION_CHANGE,POSITION_CHANGE_PCT
2026-03-31,1168164,SPDR INDEX SHARES FUNDS,SE0015949201,Lifco AB,10483.0,520.0,9963.0,1915.9615384615386
2026-03-31,1168164,SPDR INDEX SHARES FUNDS,SE0015949201,Lifco AB,10207.0,10483.0,-276.0,-2.6328341123724126
2026-03-31,1168164,SPDR INDEX SHARES FUNDS,SE0015949201,Lifco AB,10660.0,10207.0,453.0,4.438130694621338
2026-03-31,1168164,SPDR INDEX SHARES FUNDS,SE0015949748,Beijer Ref AB,326248.0,10157.0,316091.0,3112.050802402284
2026-03-31,1168164,SPDR INDEX SHARES FUNDS,SE0015949748,Beijer Ref AB,172.0,326248.0,-326076.0,-99.94727937029499
2026-03-31,1168164,SPDR INDEX SHARES FUNDS,SE0015949748,Beijer Ref AB,17345.0,172.0,17173.0,9984.302325581395
2026-03-31,1168164,SPDR INDEX SHARES FUNDS,SE0015949748,Beijer Ref AB,19931.0,17345.0,2586.0,14.909195733640818
2026-03-31,1168164,SPDR INDEX SHARES FUNDS,SE0015961909,Hexagon AB,51078.0,2172315.0,-2121237.0,-97.64868354727561
2026-03-31,1168164,SPDR INDEX SHARES FUNDS,SE0015961909,Hexagon AB,1524.0,51078.0,-49554.0,-97.0163279689886
2026-03-31,1168164,SPDR INDEX SHARES FUNDS,SE0015961909,Hexagon AB,93689.0,1524.0,92165.0,6047.57217847769
2026-03-31,1168164,SPDR INDEX SHARES FUNDS,SE0015961909,Hexagon AB,3211.0,93689.0,-90478.0,-96.57270330561752
2026-03-31,1168164,SPDR INDEX SHARES FUNDS,SE0015961909,Hexagon AB,95416.0,3211.0,92205.0,2871.535347243849
2026-03-31,1168164,SPDR INDEX SHARES FUNDS,SE0015961909,Hexagon AB,76338.0,95416.0,-19078.0,-19.994550180263268
2026-03-31,1168164,SPDR INDEX SHARES FUNDS,SE0015961982,Vimian Group AB,9760.0,123393.0,-113633.0,-92.09031306476056
2026-03-31,1168164,SPDR INDEX SHARES FUNDS,SE0015961982,Vimian Group AB,77079.0,9760.0,67319.0,689.7438524590165
2026-03-31,1168164,SPDR INDEX SHARES FUNDS,SE0015962477,Nolato AB,8333.0,380027.0,-371694.0,-97.80726106302973
2026-03-31,1168164,SPDR INDEX SHARES FUNDS,SE0015962477,Nolato AB,100897.0,8333.0,92564.0,1110.8124324973
2026-03-31,1168164,SPDR INDEX SHARES FUNDS,SE0015962485,Rvrc Holding AB,3949.0,37926.0,-33977.0,-89.58761799293362
2026-03-31,1168164,SPDR INDEX SHARES FUNDS,SE0015962485,Rvrc Holding AB,20599.0,3949.0,16650.0,421.62572803241324
2026-03-31,1168164,SPDR INDEX SHARES FUNDS,SE0015988019,Nibe Industrier AB,37118.0,1905842.0,-1868724.0,-98.05240938126035
2026-03-31,1168164,SPDR INDEX SHARES FUNDS,SE0015988019,Nibe Industrier AB,1100.0,37118.0,-36018.0,-97.03647825852686
