date,nav,shares_outstanding,ex_dividends,shares_change,primary_flow_usd,estimated_aum_usd,primary_flow_pct,primary_flow_z,flow_5d,flow_20d,isin,ticker,currency,source,estimated_net_assets_usd,primary_flow_5d,primary_flow_20d,primary_flow_pct_5d,primary_flow_pct_20d
2004-01-07,57.228043,79000000.0,,-2400000.0,-137347303.2,,-3.0379746835443036,0.0,,,,,,,4521015397.0,-27469460.639999997,6200447.730000007,-0.6075949367088607,0.14562749898281446
2004-01-08,57.72648,80000000.0,,1000000.0,57726480.0,,1.25,0.0,,,,,,,4618118400.0,-15924164.639999997,12288955.650000008,-0.3575949367088607,0.28770309579979064
2004-01-09,57.290068,79000000.0,,-1000000.0,-57290068.0,,-1.2658227848101267,0.0,,,,,,,4525915372.0,-27382178.24,9424452.250000007,-0.610759493670886,0.2244119565592843
2004-01-12,58.065471,78000000.0,,-1000000.0,-58065471.0,,-1.282051282051282,0.0,,,,,,,4529106738.0,-38995272.44,6521178.700000008,-0.8671697500811424,0.1603093924567202
2004-01-13,57.884578,78000000.0,,0.0,0.0,,0.0,0.0,,,,,,,4514997084.0,-38995272.44,6521178.700000008,-0.8671697500811424,0.16030939245672018
2004-01-14,58.381523,77200000.0,,-800000.0,-46705218.4,,-1.0362694300518134,0.0,,,,,,,4507053575.6,-20866855.48,4185917.7800000072,-0.4668286993826444,0.1084959209541295
2004-01-15,58.406227,77200000.0,,0.0,0.0,,0.0,0.0,,,,,,,4508960724.4,-32412151.48,-1433444.8149999927,-0.7168286993826444,-0.026987950013612417
2004-01-16,58.809846,77200000.0,,0.0,0.0,,0.0,0.0,,,,,,,4540120111.2,-20954137.880000003,-1433444.8149999927,-0.4636641424206191,-0.026987950013612417
2004-01-20,59.561895,77200000.0,,0.0,0.0,,0.0,0.0,,,,,,,4598178294.0,-9341043.68,-9598145.514999993,-0.20725388601036268,-0.21332335374032046
2004-01-21,59.513818,79000000.0,,1800000.0,107124872.4,,2.278481012658228,0.0,,,,,,,4701591622.0,12083930.8,-4241901.894999993,0.24844231652128293,-0.09939930310740908
2004-01-22,58.94178,80900000.0,,1900000.0,111989382.0,,2.3485784919653896,0.0,,,,,,,4768390002.0,43822850.88,1357567.205000007,0.9254119009247235,0.018029621490860404
2004-01-23,59.381566,80900000.0,,0.0,0.0,,0.0,0.0,,,,,,,4803968689.4,43822850.88,-1128366.3099999926,0.9254119009247235,-0.03725293379169488
2004-01-26,59.914575,80900000.0,,0.0,0.0,,0.0,0.0,,,,,,,4847089117.5,43822850.88,-1128366.3099999926,0.9254119009247235,-0.03725293379169488
2004-01-27,59.283378,80900000.0,,0.0,0.0,,0.0,0.0,,,,,,,4796025280.2,43822850.88,-1128366.3099999926,0.9254119009247235,-0.03725293379169488
2004-01-28,58.170351,78900000.0,,-2000000.0,-116340702.0,,-2.534854245880862,0.0,,,,,,,4589640693.9,-870264.0,-6945401.409999994,-0.03725515078309449,-0.16399564608573797
2004-01-29,57.771505,78900000.0,,0.0,0.0,,0.0,0.0,,,,,,,4558171744.5,-23268140.4,-6945401.409999994,-0.5069708491761724,-0.16399564608573797
2004-01-30,57.861396,78400000.0,,-500000.0,-28930698.0,,-0.6377551020408163,0.0,,,,,,,4536333446.4,-29054280.0,-8391936.309999993,-0.6345218695843358,-0.1958834011877788
2004-02-02,57.838209,78400000.0,,0.0,0.0,,0.0,0.0,,,,,,,4534515585.6,-29054280.0,-8391936.309999993,-0.6345218695843358,-0.1958834011877788
2004-02-03,57.702503,78400000.0,,0.0,0.0,,0.0,0.0,,,,,,,4523876235.2,-29054280.0,-8391936.309999993,-0.6345218695843358,-0.1958834011877788
2004-02-04,56.199406,78800000.0,,400000.0,22479762.400000002,,0.5076142131979696,0.0,,,,,,,4428513192.8,-1290187.1199999996,-7267948.189999993,-0.02602817776856934,-0.1705026905278803
2004-02-05,56.750569,78800000.0,,0.0,0.0,,0.0,0.0,,,,,,,4471944837.2,-1290187.1199999996,-400583.02999999316,-0.02602817776856934,-0.018603956350665134
2004-02-06,58.200519,78800000.0,,0.0,0.0,,0.0,0.0,,,,,,,4586200897.2,4495952.48,-3286907.029999993,0.10152284263959392,-0.08110395635066514
2004-02-09,58.339838,79800000.0,,1000000.0,58339838.0,,1.2531328320802007,0.0,,,,,,,4655519072.4,16163920.080000002,2494588.270000007,0.3521494090556341,0.04484382449385123
2004-02-10,59.075165,82000000.0,,2200000.0,129965363.0,,2.682926829268293,0.0,,,,,,,4844163530.0,42156992.68,11896129.970000008,0.8887347749092926,0.24309273005982995
2004-02-11,59.5072,83600000.0,,1600000.0,95211520.0,,1.9138755980861244,0.0,,,,,,,4974801920.0,56703344.2,16656705.970000008,1.1699870518869235,0.3387865099641362
2004-02-12,59.081694,83600000.0,,0.0,0.0,,0.0,0.0,,,,,,,4939229618.4,56703344.2,18991966.890000008,1.1699870518869235,0.39059998146672686
2004-02-13,58.322841,83600000.0,,0.0,0.0,,0.0,0.0,,,,,,,4875789507.599999,56703344.2,18991966.890000008,1.1699870518869235,0.39059998146672686
2004-02-17,59.252122,82800000.0,,-800000.0,-47401697.6,,-0.966183574879227,0.0,,,,,,,4906075701.6,35555037.08,16621882.010000005,0.726123770495038,0.3422908027227655
2004-02-18,58.956457,81800000.0,,-1000000.0,-58956457.0,,-1.2224938875305622,0.0,,,,,,,4822638182.6,-2229326.9200000004,13674059.160000006,-0.054960372864732945,0.2811661083462374
