date,shares_outstanding,nav,fund_aum,class_aum,shares_change,estimated_flow_eur,flow_pct_assets,flow_zscore,flow_5d,flow_20d
2025-08-25,2322323.0,158.7196,545370113.32,368598177.6308,-5544.0,-879941.4624000001,-0.002387264820612809,-0.30944296080367445,-76022.39800000079,-502395.99517
2025-08-26,2317987.0,157.2129,541234532.02,364417458.4323,-4336.0,-681675.1344,-0.0018705885753457635,-0.26321262689910613,-428772.8648800008,-528579.680725
2025-08-27,2317987.0,156.2636,537966130.66,362216993.3732,0.0,0.0,0.0,-0.1106314454295547,-390484.3404800008,-448941.46141
2025-08-28,2317987.0,156.788,539771542.48,363432545.75600004,0.0,0.0,0.0,-0.1106314454295547,-312323.31936000084,-433079.65512499993
2025-08-29,2330910.0,155.3757,535639018.51000005,362166772.88699996,12923.0,2007920.1711,0.005544186605231433,0.33768542473079666,89260.71485999916,-332683.64657
2025-09-01,2310431.0,155.4081,535750684.81999993,359059691.8911,-20479.0,-3182602.4798999997,-0.008863714172810181,-0.8286412881314336,-371271.48864000075,-474341.623525
2025-09-02,2310431.0,152.9617,527317108.36,353407453.49270004,0.0,0.0,0.0,-0.10801864472074729,-234936.46176000073,-448364.205385
2025-09-03,2309396.0,153.8448,530361581.16,355288565.74079996,-1035.0,-159229.368,-0.0004481691316690598,-0.1441457302471039,-266782.3353600007,-445404.826185
2025-09-04,2309396.0,155.1849,534981396.62999994,358383387.3204,0.0,0.0,0.0,-0.10771085084076612,-266782.3353600007,-445404.826185
2025-09-05,2311386.0,154.4818,532557383.08000004,357067069.7748,1990.0,307418.782,0.0008609552882988821,-0.03830254917928357,-606882.6131800007,-430033.88708499994
2025-09-08,2311386.0,156.0539,537977147.93,360700799.7054,0.0,0.0,0.0,-0.10829877820285361,29637.882799999206,-207753.19064500002
2025-09-09,2311386.0,156.2771,538746704.84,361216701.0606,0.0,0.0,0.0,-0.10829877820285361,29637.882799999206,-189149.813405
2025-09-10,2311386.0,158.2901,545686220.85,365869521.0786,0.0,0.0,0.0,-0.10829877820285361,61483.75639999921,-176740.994605
2025-09-11,2311386.0,159.3679,549401876.37,368360732.9094,0.0,0.0,0.0,-0.10829877820285361,61483.75639999921,-147228.02726000003
2025-09-12,2317886.0,159.2309,548929110.59,369079073.8774,6500.0,1035000.85,0.002804279416675367,0.1205574125504463,207000.1699999992,-74628.16101000001
2025-09-15,2317886.0,160.1307,552031048.02,371164707.70019996,0.0,0.0,0.0,-0.10746572604369238,207000.1699999992,-52663.958460000016
2025-09-16,2416481.0,157.7178,559263311.51,381122067.0618,98595.0,15550186.491,0.04080106568187376,3.0,3317037.468199999,670741.50609
2025-09-17,2421275.0,157.3437,559926657.26,380972367.21750003,4794.0,754305.6978000001,0.0019799485808096972,0.02619985764715187,3467898.6077599996,718028.9220799999
2025-09-18,2430324.0,157.8422,561700309.14,383607686.8728,9049.0,1428314.0677999998,0.0037233718631754444,0.16299775004427394,3753561.4213199997,808984.88075
2025-09-19,2430324.0,158.7366,565953880.52,385781368.6584,0.0,0.0,0.0,-0.13032792325207557,3546561.2513199993,808984.88075
2025-09-22,2460324.0,156.8737,564018071.54,385960129.0788,30000.0,4706211.0,0.012193515975944631,0.8120351397286469,4487803.451319998,1088292.50387
2025-09-23,2466824.0,157.6873,568362635.55,388986816.13519996,6500.0,1024967.45,0.0026349670669654586,0.06567929775995907,1582759.6431199992,1173624.63309
2025-09-24,2466824.0,158.0681,570801084.02,389926182.7144,0.0,0.0,0.0,-0.13960799559649795,1431898.5035599992,1173624.63309
2025-09-25,2466824.0,157.6324,569227787.18,388851387.49759996,0.0,0.0,0.0,-0.13960799559649795,1146235.689999999,1173624.63309
2025-09-26,2466824.0,159.681,576625419.68,393904923.14400005,0.0,0.0,0.0,-0.13960799559649795,1146235.689999999,1073228.624535
2025-09-29,2466824.0,159.3298,576316758.93,393038574.55520004,0.0,0.0,0.0,-0.13960799559649795,204993.48999999906,1232358.74853
2025-09-30,2466824.0,160.9742,582264706.65,397095019.9408,0.0,0.0,0.0,-0.13434915781618095,0.0,1232358.74853
2025-10-01,2466824.0,161.6383,584666925.49,398733237.7592,0.0,0.0,0.0,-0.13434915781618095,0.0,1240320.2169299999
2025-10-02,2463211.0,161.1911,583049114.95,397047690.6221,-3613.0,-582383.4443,-0.0014667846156906574,-0.24774224977088308,-116476.68886000093,1211201.0447149999
2025-10-03,2452372.0,162.1161,586395013.0,397568984.3892,-10839.0,-1757176.4079,-0.004419802542191805,-0.474710440523251,-467911.97044000094,1107971.28522
2025-10-06,2423467.0,161.8168,585312401.07,392157674.8456,-28905.0,-4677314.604,-0.01192712754083303,-1.0470058153805584,-1403374.8912400012,874105.5550199999
2025-10-07,2421058.0,161.504,584180868.92,391010551.232,-2409.0,-389063.136,-0.0009950195327827751,-0.19857752792727446,-1481187.5184400012,854652.3982199999
2025-10-08,2421058.0,163.0812,589885982.7,394829043.90959996,0.0,0.0,0.0,-0.12142363630026959,-1481187.5184400012,854652.3982199999
2025-10-09,2389745.0,162.1044,586352859.06,387388179.378,-31313.0,-5075975.0772,-0.013103071666642256,-1.1229915657214555,-2379905.8450200013,600853.6443599999
2025-10-10,2388821.0,160.9736,582262834.39,384537116.12560004,-924.0,-148739.60640000002,-0.00038680169003872623,-0.1093633190510469,-2058218.4847200015,541666.62154
2025-10-13,2377050.0,161.6446,591188063.26,384237296.43,-11771.0,-1902718.5866,-0.004951936223470268,-0.524467103600518,-1503299.281240001,446530.69221
2025-10-14,2377050.0,162.1087,592885518.74,385340485.335,0.0,0.0,0.0,-0.06723396431438677,-1425486.654040001,-330978.63234000007
2025-10-15,2377050.0,161.9465,592292349.97,384954927.825,0.0,0.0,0.0,-0.06723396431438677,-1425486.654040001,-368693.9172300001
2025-10-16,2375533.0,162.721,595124851.3,386549105.293,-1517.0,-246847.757,-0.0006385935282734444,-0.12258059292927179,-459661.19000000117,-452452.00847000006
2025-10-17,2362285.0,162.2595,593437193.36,383303182.9575,-13248.0,-2149613.856,-0.005608129417068644,-0.5738394976525146,-859836.039920001,-559932.7012700001
2025-10-20,2368785.0,164.6181,603133440.68,389944886.0085,6500.0,1070017.65,0.0027440227796106443,0.1856286926720746,-265288.7926000012,-741742.3687700002
2025-10-21,2368785.0,163.9783,600789322.65,388429337.3655,0.0,0.0,0.0,-0.06636618298440558,-265288.7926000012,-792990.7412700001
2025-10-22,2372285.0,164.1266,601332659.75,389355071.281,3500.0,574443.1,0.001475370792295192,0.07821261723774718,-150400.1726000012,-764268.5862700001
2025-10-23,2360241.0,164.237,601736944.36,387638901.117,-12044.0,-1978070.4279999998,-0.005102868732472658,-0.5245314543445176,-496644.7068000012,-863172.10767
2025-10-24,2360241.0,165.0148,604586754.62,389474696.5668,0.0,0.0,0.0,-0.05399934915184296,-66721.93560000118,-863172.10767
2025-10-27,2363741.0,166.4534,620161783.92,393452726.1694,3500.0,582586.8999999999,0.0014807036811562686,0.0813962762553388,-164208.08560000118,-834042.7626700001
2025-10-28,2343245.0,167.3567,625139696.71,392157750.49149996,-20496.0,-3430142.9231999996,-0.008746844653461332,-0.8523186553401063,-850236.670240001,-1005549.9088300001
2025-10-29,2328793.0,168.0085,627574334.28,391257018.7405,-14452.0,-2428058.842,-0.006205789866252605,-0.613006496717305,-1450737.0586400009,-1126952.8509300002
2025-10-30,2322932.0,167.3176,627411450.69,388667407.2032,-5861.0,-980648.4536,-0.002523104421481128,-0.2581047475882293,-1251252.6637600013,-1146866.1013950002
2025-10-31,2331932.0,167.235,630822326.77,389980648.02000004,9000.0,1505115.0000000002,0.0038594607389923893,0.5240979619504526,-950229.6637600012,-983751.5310000002
2025-11-03,2327115.0,167.3009,631071246.27,389328433.9035,-4817.0,-805888.4353,-0.0020699449747863773,-0.20604101068269037,-1227924.7308200013,-790180.2225650001
2025-11-04,2333115.0,167.2898,633043996.45,390306341.72700006,6000.0,1003738.8,0.0025716692061900077,0.3642710887713908,-341148.3861800012,-720540.125765
2025-11-05,2323480.0,168.5013,637628376.24,391509400.524,-9635.0,-1623510.0254999998,-0.004146797045810594,-0.4602120676028374,-180238.6228800011,-801715.62704
2025-11-06,2327580.0,168.7081,638411019.56,392681599.398,4100.0,691703.21,0.0017614861787779582,0.28074546774424003,154231.70983999892,-513331.71268000006
2025-11-07,2327580.0,166.4378,629819783.81,387397294.52400005,0.0,0.0,0.0,0.16199587353718178,-146791.29016000114,-505894.73235999997
2025-11-10,2327580.0,169.3772,643259554.39,394238983.176,0.0,0.0,0.0,0.1581926701156552,14386.396899998863,-410758.80303
2025-11-11,2320354.0,171.538,651465700.97,398028884.452,-7226.0,-1239533.588,-0.0031141799915012968,-0.3607649001677099,-434268.0807000011,-472735.48243000003
2025-11-12,2319198.0,173.917,660500824.13,403347958.566,-1156.0,-201048.052,-0.000498448170445128,0.07517287868867317,-149775.68600000118,-482787.88503
2025-11-13,2327585.0,173.513,660701823.83,403866256.105,8387.0,1455253.531,0.0036033055720843706,0.747385495810678,2934.3781999988482,-397682.8206300001
2025-11-14,2343924.0,171.088,657113790.27,401017269.312,16339.0,2795406.832,0.006970789155279779,1.2879783276813357,562015.7445999988,-150431.78623000003
2025-11-17,2343924.0,169.2691,650127880.5,396753905.9484,0.0,0.0,0.0,0.13833558188180392,562015.7445999988,-203932.66872999998
2025-11-18,2345924.0,165.6497,636226673.75,388601606.8228,2000.0,331299.39999999997,0.000852542537609914,0.27769941295442063,876182.3421999989,-187367.69873
2025-11-19,2345924.0,166.3055,638905686.45,390140063.782,0.0,0.0,0.0,0.14115946098437956,916391.9525999989,-216089.85373
2025-11-20,2349454.0,167.3446,642897247.85,393168439.84840006,3530.0,590726.4380000001,0.0015024767456609067,0.391853666006589,743486.5339999988,-87650.01043
