date,sector,flow_dollar,flow_pct_aum,flow_zscore,flow_5d_sum,flow_20d_sum,positive_days_5d,negative_days_5d,positive_days_20d,negative_days_20d,persistence_5d,persistence_20d,n_obs_5d,n_obs_20d,price_ret_5d,price_ret_20d,price_flow_regime,price_flow_regime_5d,price_flow_regime_20d
2026-09-14,XLU,20904082.0,0.0962281794961285,0.3208915754121322,16316393.8,72788031.20000002,2,2,10,7,0.5,0.5882352941176471,5,20,-0.0292479592078889,-0.0561950259827278,Absorción potencial,Absorción potencial,Absorción potencial
2026-09-14,XLRE,-32345739.0,-0.4055150078314691,-1.352853481291569,-92628892.15,-281932646.70000005,0,3,5,11,0.0,0.3125,5,20,-0.0184384558994774,-0.047492854078604,Confirmación de debilidad,Confirmación de debilidad,Confirmación de debilidad
2026-09-14,XLC,80512868.8,0.3470500737489958,1.0959976374966662,-61058616.59999998,-5704157.249999985,2,3,9,10,0.4,0.4736842105263157,5,20,0.0271355971494406,0.0187693918004574,Divergencia bajista,Divergencia bajista,Divergencia bajista
2026-09-15,XLK,73501189.6,0.0616511603089948,0.272768787561304,-560545656.6,-680166108.1,1,4,9,11,0.2,0.45,5,20,-0.0219832316568022,-0.0345733584375359,Confirmación de debilidad,Confirmación de debilidad,Confirmación de debilidad
2026-09-15,XLF,335378632.40000004,0.6083757287318733,0.7706340075938778,811074434.0500002,-1697084266.5500002,4,1,11,9,0.8,0.55,5,20,-0.0078534165607527,-0.0126780710962026,Confirmación de debilidad,Absorción potencial,Confirmación de debilidad
2026-09-15,XLV,-8383431.199999999,-0.0192481425568133,0.0656095970637395,56573740.750000015,-297095641.25000006,2,3,9,11,0.4,0.45,5,20,0.0031711767116173,0.0036516049039674,Divergencia bajista,Confirmación,Divergencia bajista
2026-09-15,XLE,-164861962.5,-0.3832308032177194,-0.6652291565293484,-302268999.45000005,-233387760.94999984,1,4,8,12,0.2,0.4,5,20,0.0179095834835674,0.0535314537568245,Divergencia bajista,Divergencia bajista,Divergencia bajista
2026-09-15,XLY,-22169719.4,-0.1055651277267401,-0.2529720565325483,-364807460.6999999,-1000661841.5,0,4,4,14,0.0,0.2222222222222222,5,20,-0.0272831008740639,-0.0502783961163343,Confirmación de debilidad,Confirmación de debilidad,Confirmación de debilidad
2026-09-15,XLP,25117599.9,0.1754675239276761,0.3364649974891772,-60895372.80000002,-139286518.15,3,2,10,8,0.6,0.5555555555555556,5,20,-0.0034514793825184,-0.0112186696364964,Confirmación de debilidad,Confirmación de debilidad,Confirmación de debilidad
2026-09-15,XLI,-211059345.0,-0.694537048486059,-1.1987113804679028,-347364136.3,-1075302614.45,1,4,8,12,0.2,0.4,5,20,-0.0319343660354504,-0.093763420641688,Confirmación de debilidad,Confirmación de debilidad,Confirmación de debilidad
2026-09-15,XLB,-25370260.0,-0.3072244755576446,-0.4110632092012058,-94428350.8,-201808409.65,2,3,7,12,0.4,0.3684210526315789,5,20,-0.0232960938865031,-0.0289050935626766,Confirmación de debilidad,Confirmación de debilidad,Confirmación de debilidad
2026-09-15,XLU,53714918.4,0.2495688620419844,0.785164658689167,98267031.4,192747554.6,3,1,11,6,0.75,0.6470588235294118,5,20,-0.0490218879335904,-0.0647351876549559,Absorción potencial,Absorción potencial,Absorción potencial
2026-09-15,XLRE,-32313609.75,-0.4071661231474529,-1.3151319679994755,-122748365.1,-314246256.45,0,3,5,12,0.0,0.2941176470588235,5,20,-0.0189066469750668,-0.0392594705408037,Confirmación de debilidad,Confirmación de debilidad,Confirmación de debilidad
2026-09-15,XLC,-91186768.0,-0.3982080650102026,-0.983009316297178,-146668956.0,-213245674.6,2,3,8,11,0.4,0.4210526315789473,5,20,0.0225071934342326,0.0289658824518348,Divergencia bajista,Divergencia bajista,Divergencia bajista
2026-09-16,XLK,27595821.75,0.0231138414474082,-0.0021556575261552,-345083515.85,-698964473.1,2,3,9,11,0.4,0.45,5,20,0.0153330975012064,0.0240688204292951,Divergencia bajista,Divergencia bajista,Divergencia bajista
2026-09-16,XLF,55925906.0,0.103008313246125,0.076054969956771,1152239075.0500002,-938565741.6,5,0,12,8,1.0,0.6,5,20,-0.0174080865546575,-0.0278357426385401,Confirmación de debilidad,Absorción potencial,Confirmación de debilidad
