date,nav
2017-03-06,130.743649
2017-03-07,130.5239
2017-03-08,130.738741
2017-03-09,130.83971
2017-03-10,131.371056
2017-03-13,131.589985
2017-03-14,131.301739
2017-03-15,132.130678
2017-03-16,132.036948
2017-03-17,131.679881
2017-03-20,131.793831
2017-03-21,129.826936
2017-03-22,130.678719
2017-03-23,130.375892
2017-03-24,130.589254
2017-03-27,130.838716
2017-03-28,131.644458
2017-03-29,132.214652
2017-03-30,132.444542
2017-03-31,132.356947
2017-04-03,132.27383
2017-04-04,132.503598
2017-04-05,131.970202
2017-04-06,132.028658
2017-04-07,131.965385
2017-04-10,132.04523
2017-04-11,131.477841
2017-04-12,130.956985
2017-04-13,130.383458
2017-04-14,130.383458
2017-04-17,131.492928
2017-04-18,131.308673
2017-04-19,131.502204
2017-04-20,132.569954
2017-04-21,132.531681
2017-04-24,134.139096
2017-04-25,135.115921
2017-04-26,134.94217
2017-04-27,135.688524
2017-04-28,135.984424
2017-05-01,137.105871
2017-05-02,137.456536
2017-05-03,137.023226
2017-05-04,137.050673
2017-05-05,137.529832
2017-05-08,137.84924
2017-05-09,138.325378
2017-05-10,138.411249
2017-05-11,138.300503
2017-05-12,138.608582
2017-05-15,139.055598
2017-05-16,139.612588
2017-05-17,136.133701
2017-05-18,137.248998
2017-05-19,137.864492
2017-05-22,139.027673
2017-05-23,139.128148
2017-05-24,139.784842
2017-05-25,140.953568
2017-05-26,141.215093
2017-05-29,141.215093
2017-05-30,141.368888
2017-05-31,141.226279
2017-06-01,141.899612
2017-06-02,143.478567
2017-06-05,143.399022
2017-06-06,142.879069
2017-06-07,143.403833
2017-06-08,143.590519
2017-06-09,140.100817
2017-06-12,139.278628
2017-06-13,140.340922
2017-06-14,139.752387
2017-06-15,139.123347
2017-06-16,138.270566
2017-06-19,140.481585
2017-06-20,139.363895
2017-06-21,140.727515
2017-06-22,140.665349
2017-06-23,141.228334
2017-06-26,140.606779
2017-06-27,138.027492
2017-06-28,140.017613
2017-06-29,137.583803
2017-06-30,137.448862
2017-07-03,136.231838
2017-07-04,136.231838
2017-07-05,137.523516
2017-07-06,136.286069
2017-07-07,137.708605
2017-07-10,138.624581
2017-07-11,139.004493
2017-07-12,140.686044
2017-07-13,141.035865
2017-07-14,142.121831
2017-07-17,142.161297
2017-07-18,143.142504
2017-07-19,144.019273
2017-07-20,144.141625
2017-07-21,144.146605
2017-07-24,144.630608
2017-07-25,144.368868
2017-07-26,144.85686
2017-07-27,144.046518
2017-07-28,143.852067
2017-07-31,143.155658
2017-08-01,143.516515
2017-08-02,143.979477
2017-08-03,143.44607
2017-08-04,143.656867
2017-08-07,144.503388
2017-08-08,144.310401
2017-08-09,144.140229
2017-08-10,141.017947
2017-08-11,142.072126
2017-08-14,143.937848
2017-08-15,144.008349
2017-08-16,144.273319
2017-08-17,141.329552
2017-08-18,141.197473
2017-08-21,141.091426
2017-08-22,143.212261
2017-08-23,142.688515
2017-08-24,142.265778
2017-08-25,141.973737
2017-08-28,142.36915
2017-08-29,142.959728
2017-08-30,144.680636
2017-08-31,146.035138
2017-09-01,146.014826
2017-09-04,146.014826
2017-09-05,144.671739
2017-09-06,145.119831
2017-09-07,145.449021
2017-09-08,144.207203
2017-09-11,145.840336
2017-09-12,146.215775
2017-09-13,146.427758
2017-09-14,145.577639
2017-09-15,146.041918
2017-09-18,145.563157
2017-09-19,145.808581
2017-09-20,145.382623
2017-09-21,144.44043
2017-09-22,144.374978
2017-09-25,142.793341
2017-09-26,143.1329
2017-09-27,144.505691
2017-09-28,144.40078
2017-09-29,145.523216
2017-10-02,145.586154
2017-10-03,145.920892
2017-10-04,146.042824
2017-10-05,147.460676
2017-10-06,147.641131
2017-10-09,147.493342
2017-10-10,147.613971
2017-10-11,148.044512
2017-10-12,147.769689
2017-10-13,148.313843
2017-10-16,148.850076
2017-10-17,149.045972
2017-10-18,148.844207
2017-10-19,148.314533
2017-10-20,148.706287
2017-10-23,147.708244
2017-10-24,148.010765
2017-10-25,147.397379
2017-10-26,146.978829
2017-10-27,151.248857
2017-10-30,151.604706
2017-10-31,152.119348
2017-11-01,152.120636
2017-11-02,151.82216
2017-11-03,153.259867
2017-11-06,153.724854
2017-11-07,153.898481
2017-11-08,154.507823
2017-11-09,153.692971
2017-11-10,153.693307
2017-11-13,153.867358
2017-11-14,153.322017
2017-11-15,152.542624
2017-11-16,154.546018
2017-11-17,153.947807
2017-11-20,153.806382
2017-11-21,155.511803
2017-11-22,155.701978
2017-11-23,155.701978
2017-11-24,156.263056
2017-11-27,156.181384
2017-11-28,156.602112
2017-11-29,153.90437
2017-11-30,155.228005
2017-12-01,154.551675
2017-12-04,152.746153
2017-12-05,152.781326
2017-12-06,153.460361
2017-12-07,154.030551
2017-12-08,154.716372
2017-12-11,155.915531
2017-12-12,155.665625
2017-12-13,155.932769
2017-12-14,155.832028
2017-12-15,157.688592
2017-12-18,158.515748
2017-12-19,157.725637
2017-12-20,157.525642
2017-12-21,157.529776
2017-12-22,157.343357
2017-12-25,157.343357
2017-12-26,156.563923
2017-12-27,156.611481
2017-12-28,156.773814
2017-12-29,155.675635
2018-01-01,155.675635
2018-01-02,158.486139
2018-01-03,160.053103
2018-01-04,160.296217
2018-01-05,161.965381
2018-01-08,162.532259
2018-01-09,162.565123
2018-01-10,162.192596
2018-01-11,163.306857
2018-01-12,164.520845
2018-01-15,164.520845
2018-01-16,163.999071
2018-01-17,165.777671
2018-01-18,165.803431
2018-01-19,166.359156
2018-01-22,168.108695
2018-01-23,169.498902
2018-01-24,168.424961
2018-01-25,168.34976
2018-01-26,170.942403
2018-01-29,170.098424
2018-01-30,168.712007
2018-01-31,169.18475
2018-02-01,168.004376
