date,nav,shares_outstanding,shares_change,total_net_assets,estimated_flow_eur,flow_pct_assets,flow_zscore,flow_5d,flow_20d
2014-04-08,6.579919,612619707.0,0.0,4030988382.37,0.0,0.0,0.2615603039535377,-1063772.3999999822,-2490107.160000004
2014-04-09,6.62643,612619707.0,0.0,4059482121.04,0.0,0.0,0.2615603039535377,-1063772.3999999822,-2490107.160000004
2014-04-10,6.632684,612619707.0,0.0,4063313161.13,0.0,0.0,0.2615603039535377,-1063772.3999999822,-2490107.160000004
2014-04-11,6.552551,612619707.0,0.0,4014222485.94,0.0,0.0,0.2615603039535377,-528972.8799999822,-2490107.160000004
2014-04-14,6.574301,612619707.0,0.0,4027546618.95,0.0,0.0,0.2615603039535377,0.0,-2490107.160000004
2014-04-15,6.532184,612619707.0,0.0,4001745236.01,0.0,0.0,0.2615603039535377,0.0,-2490107.160000004
2014-04-16,6.57774,612619707.0,0.0,4029653572.75,0.0,0.0,0.2615603039535377,0.0,-2490107.160000004
2014-04-17,6.618663,612619707.0,0.0,4054723439.15,0.0,0.0,0.2615603039535377,0.0,-2490107.160000004
2014-04-21,6.618663,612619707.0,0.0,4054723439.15,0.0,0.0,0.2615603039535377,0.0,-265943.1000000037
2014-04-22,6.674777,612619707.0,0.0,4089100277.5,0.0,0.0,0.2615603039535377,0.0,-265943.1000000037
2014-04-23,6.675445,612619707.0,0.0,4089509625.08,0.0,0.0,0.2615603039535377,0.0,-265943.1000000037
2014-04-24,6.703496,612619707.0,0.0,4106693849.79,0.0,0.0,0.2615603039535377,0.0,-265943.1000000037
2014-04-25,6.686098,612619707.0,0.0,4096035555.31,0.0,0.0,0.2615603039535377,0.0,-265943.1000000037
2014-04-28,6.70039,612619707.0,0.0,4104790993.22,0.0,0.0,0.2615603039535377,0.0,-265943.1000000037
2014-04-29,6.769988,612619707.0,0.0,4147428177.17,0.0,0.0,0.2615603039535377,0.0,-265943.1000000037
2014-04-30,6.785831,612619707.0,0.0,4157134064.63,0.0,0.0,0.2615603039535377,0.0,-265943.1000000037
2014-05-01,6.814625,612619707.0,0.0,4174774060.82,0.0,0.0,0.2615603039535377,0.0,-265943.1000000037
2014-05-02,6.827961,612619707.0,0.0,4182943714.22,0.0,0.0,0.2615603039535377,0.0,-265943.1000000037
2014-05-05,6.827961,612619707.0,0.0,4182943714.22,0.0,0.0,0.2615603039535377,0.0,-132243.22000000376
2014-05-06,6.804004,612619707.0,0.0,4168267034.44,0.0,0.0,0.2615603039535377,0.0,0.0
2014-05-07,6.808481,612619707.0,0.0,4171009840.42,0.0,0.0,0.2615603039535377,0.0,0.0
2014-05-08,6.851271,612619707.0,0.0,4197223656.47,0.0,0.0,0.2615603039535377,0.0,0.0
2014-05-09,6.826594,612619707.0,0.0,4182106555.15,0.0,0.0,0.2615603039535377,0.0,0.0
2014-05-12,6.863549,611219707.0,-1400000.0,4195136813.99,-9608968.6,-0.002290501842027149,-1.034391490955168,-1921793.719999982,-480448.4300000037
2014-05-13,6.884845,611219707.0,0.0,4208153048.2,0.0,0.0,0.27132834217031226,-1921793.719999982,-480448.4300000037
2014-05-14,6.905305,611219707.0,0.0,4220658660.4,0.0,0.0,0.27132834217031226,-1921793.719999982,-480448.4300000037
2014-05-15,6.867432,611219707.0,0.0,4197510207.91,0.0,0.0,0.27132834217031226,-1921793.719999982,-480448.4300000037
2014-05-16,6.882319,611219707.0,0.0,4206609243.56,0.0,0.0,0.27132834217031226,-1921793.719999982,-480448.4300000037
