ticker,sector,rs,rs_mom,flow_z,wyckoff_score,wyckoff_phase,persistence_10d,stability,spring,sos,wls,sector_rank_pct
JNJ,XLV,1.54633650548925,-0.03642622565014192,-0.020222381172515735,-0.28662015267214835,RANGE,5.0,-0.9999999994461666,0,0,-0.7756926313143397,0.2
UNH,XLV,2.393845697227507,-0.11520623120440421,-0.06322056425851595,-0.22773140165157219,RANGE,5.0,-0.9992748281288665,0,0,-1.16445468111082,0.1
UBER,XLI,0.4201938613980979,0.05063797603348852,1.3872236435999525,0.44429163564859986,MARKUP,8.0,0.9972838500872141,0,0,1.7015399386401984,1.0
ETN,XLI,2.4732903397566237,0.07392975698876647,0.426249275564446,0.11557865572920961,ACCUMULATION,6.0,0.6183866733007796,0,0,0.9630902013868061,0.9
RTX,XLI,1.2054927533076119,0.11763324922148144,-0.009431150337627961,0.14861487826254005,ACCUMULATION,6.0,0.9865862174855331,0,0,0.7755335285754017,0.8
PH,XLI,5.7152933413913765,0.06693767975561449,0.18573808492074398,-0.1473179896446554,RANGE,6.0,-0.5527198315224235,0,0,0.13257618841992252,0.7
BA,XLI,1.2560043582454776,0.04298511180011977,0.19948443778100414,-0.08755388518495824,RANGE,6.0,-0.9816114791084805,0,0,0.04251802990248775,0.6
DE,XLI,3.3276791726564467,0.02714310838900258,-0.009282526814161937,0.11472817061920598,ACCUMULATION,5.0,-0.7362874216899798,0,0,-0.020898815565065808,0.5
GE,XLI,1.9820140205019954,0.011033282660682153,-0.29546640477198793,0.11933913827062823,ACCUMULATION,5.0,0.9994983856226166,0,0,-0.3674336972489611,0.4
UNP,XLI,1.5771136237488224,-0.012951492170728107,-0.13668073116601523,-0.01652351180557382,RANGE,3.0,0.7562624760867749,0,0,-0.538322374815195,0.3
GEV,XLI,5.335756552877622,-0.10179359648002118,-0.037770205187454026,-0.7743986385377835,DISTRIBUTION,6.0,-0.999999998854709,0,0,-1.832352397981088,0.2
CAT,XLI,4.5415724769895895,-0.12818912957379913,0.002102324948643116,-0.674848948778483,DISTRIBUTION,5.0,-0.9999999981792999,0,0,-1.9121264827366755,0.1
NEM,XLB,2.201540108738931,0.16265708669138346,1.4085917386235316,0.09803373729953417,ACCUMULATION,8.0,0.16599634553918757,0,0,1.7615998337869823,1.0
ECL,XLB,5.34616821768307,0.00362624495022823,0.02748486082468578,0.5069548946705035,MARKUP,5.0,0.9992182386125333,0,0,0.5481223939393971,0.9
SHW,XLB,6.844853530031461,0.053701988273761714,-0.013240715493672459,0.21607005268028895,ACCUMULATION,6.0,0.9189712312137478,0,0,0.39616102371024053,0.8
APD,XLB,5.809729297655071,-0.017504708524401336,0.485482455081841,-0.23640841565942566,RANGE,8.0,-0.9997058290239046,0,0,0.2358436144142039,0.7
VMC,XLB,5.405522153868002,-0.06421425123107216,0.15223705000017748,0.18699130682400644,ACCUMULATION,6.0,0.9994201928842081,0,0,0.1912968442738979,0.6
FCX,XLB,1.2935762692591513,0.05824909804876455,0.12091291261911963,-0.098934365333126,RANGE,6.0,-0.6143780806243349,0,0,0.14678653161414953,0.5
NUE,XLB,5.108001570875661,0.09954535346286542,-0.09486584578436491,-0.06950622982978626,RANGE,4.0,0.07607332587692928,0,0,0.08543339286878271,0.4
CRH,XLB,1.9025168617996988,-0.07560573564043283,0.272531744223454,-0.18491034008006982,RANGE,6.0,-0.34363505036067216,0,0,-0.16742255725770677,0.3
LIN,XLB,9.21356091875734,-0.11328331642709433,0.18224602515637975,-0.27870131942297266,RANGE,7.0,-0.5929398738486472,0,0,-0.5529756786945472,0.2
CTVA,XLB,1.4363260482696758,-0.15476165139144926,-0.6147776013553975,-0.5482501800948709,DISTRIBUTION,3.0,-0.8981539924324209,0,0,-1.9484186474226866,0.1
