catalog_key,assigned_entity_id,valid_from,valid_to,source,reason
radar_20260921_0134,radar_entity_0134,20260921,,radar_target_catalog,initial migration from snapshot
radar_20260921_0135,radar_entity_0135,20260921,,radar_target_catalog,initial migration from snapshot
radar_20260921_0136,radar_entity_0136,20260921,,radar_target_catalog,initial migration from snapshot
radar_20260921_0137,radar_entity_0137,20260921,,radar_target_catalog,initial migration from snapshot
radar_20260921_0138,radar_entity_0138,20260921,,radar_target_catalog,initial migration from snapshot
radar_20260921_0139,radar_entity_0139,20260921,,radar_target_catalog,initial migration from snapshot
radar_20260921_0140,radar_entity_0140,20260921,,radar_target_catalog,initial migration from snapshot
radar_20260921_0141,radar_entity_0141,20260921,,radar_target_catalog,initial migration from snapshot
radar_20260921_0142,radar_entity_0142,20260921,,radar_target_catalog,initial migration from snapshot
radar_20260921_0143,radar_entity_0143,20260921,,radar_target_catalog,initial migration from snapshot
radar_20260921_0144,radar_entity_0144,20260921,,radar_target_catalog,initial migration from snapshot
radar_20260921_0145,radar_entity_0145,20260921,,radar_target_catalog,initial migration from snapshot
radar_20260921_0146,radar_entity_0146,20260921,,radar_target_catalog,initial migration from snapshot
radar_20260921_0147,radar_entity_0147,20260921,,radar_target_catalog,initial migration from snapshot
radar_20260921_0148,radar_entity_0148,20260921,,radar_target_catalog,initial migration from snapshot
radar_20260921_0149,radar_entity_0149,20260921,,radar_target_catalog,initial migration from snapshot
radar_20260921_0150,radar_entity_0150,20260921,,radar_target_catalog,initial migration from snapshot
radar_20260921_0151,radar_entity_0151,20260921,,radar_target_catalog,initial migration from snapshot
radar_20260921_0152,radar_entity_0152,20260921,,radar_target_catalog,initial migration from snapshot
radar_20260921_0153,radar_entity_0153,20260921,,radar_target_catalog,initial migration from snapshot
radar_20260921_0154,radar_entity_0154,20260921,,radar_target_catalog,initial migration from snapshot
radar_20260921_0155,radar_entity_0155,20260921,,radar_target_catalog,initial migration from snapshot
radar_20260921_0156,radar_entity_0156,20260921,,radar_target_catalog,initial migration from snapshot
radar_20260921_0157,radar_entity_0157,20260921,,radar_target_catalog,initial migration from snapshot
radar_20260921_0158,radar_entity_0158,20260921,,radar_target_catalog,initial migration from snapshot
radar_20260921_0159,radar_entity_0159,20260921,,radar_target_catalog,initial migration from snapshot
radar_20260921_0160,radar_entity_0160,20260921,,radar_target_catalog,initial migration from snapshot
radar_20260921_0161,radar_entity_0161,20260921,,radar_target_catalog,initial migration from snapshot
radar_20260921_0162,radar_entity_0162,20260921,,radar_target_catalog,initial migration from snapshot
radar_20260921_0163,radar_entity_0163,20260921,,radar_target_catalog,initial migration from snapshot
radar_20260921_0164,radar_entity_0164,20260921,,radar_target_catalog,initial migration from snapshot
radar_20260921_0165,radar_entity_0165,20260921,,radar_target_catalog,initial migration from snapshot
radar_20260921_0166,radar_entity_0166,20260921,,radar_target_catalog,initial migration from snapshot
radar_20260921_0167,radar_entity_0167,20260921,,radar_target_catalog,initial migration from snapshot
radar_20260921_0168,radar_entity_0168,20260921,,radar_target_catalog,initial migration from snapshot
radar_20260921_0169,radar_entity_0169,20260921,,radar_target_catalog,initial migration from snapshot
radar_20260921_0170,radar_entity_0170,20260921,,radar_target_catalog,initial migration from snapshot
